brand,price,rating,RAM_GB,ROM_GB,Expandable_GB,Rear_MP,Battery_mAh
IQOO,12987,4.3,6.0,128.0,0.0,50.0,6000.0
IQOO,26830,4.4,12.0,256.0,0.0,50.0,7300.0
LAVA,869,4.1,,32.0,0.0,0.0,800.0
IQOO,36900,4.5,8.0,256.0,0.0,50.0,7000.0
KECHAODA,999,4.9,,,0.0,3.0,850.0
MOTOROLA,11999,4.3,8.0,128.0,1024.0,50.0,5000.0
ITEL,1796,4.1,,,0.0,8.0,1900.0
IQOO,27990,4.5,8.0,128.0,0.0,50.0,6400.0
IQOO,27709,4.5,8.0,128.0,0.0,50.0,6400.0
KECHAODA,873,4.0,,,0.0,0.0,800.0
KECHAODA,889,4.0,,,0.0,0.0,800.0
SAMSUNG,7980,4.3,4.0,64.0,0.0,50.0,5000.0
NOKIA,1335,3.8,,,0.0,0.0,800.0
INFINIX,12499,4.3,6.0,128.0,0.0,50.0,5500.0
IQOO,37940,4.5,12.0,256.0,0.0,50.0,7000.0
IQOO,29499,4.5,12.0,256.0,0.0,50.0,6400.0
LAVA,7428,4.0,4.0,128.0,0.0,50.0,5000.0
IQOO,39995,4.5,12.0,256.0,0.0,50.0,7000.0
REALME,35489,4.5,8.0,256.0,0.0,50.0,7000.0
JIO,759,3.7,,,0.0,3.0,1000.0
REDMI,12829,4.3,6.0,128.0,0.0,108.0,5030.0
REALME,14380,4.3,6.0,128.0,2048.0,50.0,6000.0
SAMSUNG,10695,4.1,4.0,128.0,1024.0,50.0,5000.0
IQOO,29875,4.5,8.0,256.0,0.0,50.0,6400.0
MOTOROLA,49999,4.4,8.0,256.0,0.0,50.0,4500.0
REALME,26999,4.4,12.0,256.0,0.0,50.0,6000.0
SAMSUNG,14635,4.2,6.0,128.0,0.0,50.0,5000.0
REDMI,12999,4.3,6.0,128.0,0.0,108.0,5030.0
IQOO,21889,4.4,8.0,128.0,0.0,50.0,7300.0
REALME,18499,4.4,8.0,256.0,2048.0,50.0,6000.0
REDMI,12877,4.2,8.0,128.0,0.0,13.0,5030.0
TECNO,15999,4.4,8.0,256.0,0.0,50.0,6000.0
JIO,3399,3.8,,4.0,0.0,3.0,1800.0
PEACE,699,3.9,,,0.0,3.0,2500.0
GFIVE,499,3.6,,,0.0,3.0,1000.0
POCO,30999,4.4,12.0,256.0,0.0,50.0,7550.0
IQOO,32500,4.5,8.0,256.0,0.0,50.0,6400.0
ONEPLUS,57393,4.5,12.0,512.0,0.0,50.0,5850.0
ONEPLUS,56899,4.5,12.0,512.0,0.0,50.0,5850.0
ONEPLUS,53488,4.5,12.0,256.0,0.0,50.0,5850.0
REDMI,10499,4.2,6.0,128.0,1024.0,50.0,5000.0
ITEL,1499,4.0,,,0.0,8.0,2000.0
REALME,22999,4.4,8.0,256.0,0.0,50.0,6000.0
SAMSUNG,10499,4.0,6.0,128.0,0.0,50.0,5000.0
TECNO,14249,4.4,8.0,128.0,0.0,50.0,6000.0
NOKIA,5246,4.2,46875.0,,0.0,3.0,1450.0
KECHAODA,884,4.0,,,0.0,5.0,800.0
REDMI,10724,4.2,6.0,128.0,1024.0,50.0,5160.0
HOTLINE,499,3.4,,,0.0,3.0,1000.0
POCO,18999,4.3,8.0,256.0,0.0,50.0,5500.0
SAMSUNG,49999,4.6,8.0,128.0,0.0,50.0,4000.0
REALME,14363,4.4,8.0,128.0,2048.0,50.0,6000.0
SAMSUNG,9469,4.1,4.0,128.0,0.0,50.0,5000.0
REDMI,12920,4.2,8.0,128.0,0.0,108.0,5030.0
SAMSUNG,9339,4.1,4.0,64.0,0.0,50.0,5000.0
TECNO,9488,4.1,4.0,128.0,1024.0,48.0,5000.0
NOKIA,4199,3.6,,,0.0,2.0,1450.0
REALME,29999,4.4,8.0,128.0,0.0,50.0,6000.0
REDMI,10674,4.2,6.0,128.0,1024.0,50.0,5160.0
IQOO,24680,4.4,8.0,256.0,0.0,50.0,7300.0
SAMSUNG,14649,4.2,6.0,128.0,0.0,50.0,5000.0
REDMI,9990,4.2,4.0,64.0,1024.0,50.0,5160.0
XIAOMI,36999,4.3,12.0,512.0,0.0,50.0,4700.0
ONEPLUS,52439,4.5,12.0,256.0,0.0,50.0,5850.0
REDMI,12900,4.3,6.0,128.0,0.0,108.0,5030.0
REALME,21999,4.4,8.0,128.0,0.0,50.0,6000.0
IQOO,32800,4.5,12.0,256.0,0.0,50.0,6400.0
REDMI,6900,4.1,4.0,64.0,1024.0,8.0,5000.0
LAVA,1202,4.1,,,0.0,3.0,1750.0
POCO,20999,4.3,12.0,256.0,0.0,50.0,5000.0
TECNO,10999,4.3,4.0,128.0,1024.0,50.0,6000.0
KECHAODA,973,4.1,,,0.0,3.0,850.0
REALME,13696,4.3,6.0,128.0,2048.0,50.0,6000.0
MOTOROLA,33999,4.3,12.0,256.0,0.0,50.0,6000.0
KECHAODA,977,4.1,,,0.0,3.0,850.0
MOTOROLA,1199,4.0,,,0.0,0.0,800.0
REALME,13327,4.3,6.0,128.0,2048.0,50.0,6000.0
LAVA,10949,4.2,6.0,128.0,0.0,50.0,5000.0
SAMSUNG,7260,4.2,4.0,64.0,1024.0,50.0,5000.0
OPPO,10499,4.2,4.0,64.0,2048.0,8.0,5100.0
KECHAODA,1949,4.0,,,0.0,3.0,3600.0
REALME,35999,4.4,12.0,256.0,0.0,50.0,7000.0
REDMI,17919,4.2,8.0,256.0,0.0,50.0,5110.0
SAMSUNG,15499,4.2,8.0,128.0,0.0,50.0,5000.0
JIO,998,3.6,,4.0,0.0,2.0,1000.0
ACER,10890,3.1,6.0,128.0,0.0,64.0,5000.0
JIO,759,4.0,,,0.0,3.0,1000.0
ITEL,1487,4.1,,,0.0,8.0,2500.0
REALME,23999,4.5,12.0,256.0,0.0,50.0,6000.0
VIVO,37999,4.5,12.0,256.0,0.0,50.0,5500.0
KECHAODA,1249,4.0,,,0.0,3.0,1700.0
SAMSUNG,74999,4.6,12.0,256.0,0.0,50.0,4000.0
KECHAODA,873,3.9,,16.0,0.0,0.0,800.0
OPPO,19800,4.4,8.0,128.0,0.0,50.0,6000.0
SAMSUNG,98989,4.6,12.0,256.0,0.0,200.0,5000.0
APPLE,81999,4.6,,,0.0,48.0,18.0
SAMSUNG,14989,4.2,6.0,128.0,0.0,50.0,5000.0
REDMI,8999,4.2,4.0,64.0,1024.0,50.0,5160.0
APPLE,61999,4.5,,,0.0,48.0,18.0
REALME,20999,4.4,8.0,256.0,0.0,50.0,7000.0
REALME,18999,4.4,8.0,128.0,0.0,50.0,7000.0
ONEPLUS,52560,4.5,12.0,256.0,0.0,50.0,5850.0
KECHAODA,989,4.1,,32.0,0.0,3.0,850.0
TECNO,18749,4.4,8.0,256.0,0.0,64.0,6000.0
TECNO,17749,4.4,8.0,128.0,0.0,64.0,6000.0
SAMSUNG,109940,4.6,12.0,256.0,0.0,200.0,5000.0
JIO,845,3.6,,128.0,0.0,2.0,1000.0
REDMI,10198,4.2,6.0,128.0,0.0,50.0,5160.0
SAMSUNG,7405,4.3,4.0,64.0,2048.0,50.0,5000.0
LAVA,895,4.1,,,0.0,0.0,800.0
SAMSUNG,22999,4.1,12.0,256.0,1024.0,50.0,5000.0
REDMI,9999,4.2,4.0,128.0,1024.0,50.0,5160.0
SAMSUNG,31499,4.3,8.0,256.0,0.0,50.0,5000.0
APPLE,51999,4.6,,,0.0,48.0,16.0
SAMSUNG,55999,4.6,8.0,256.0,0.0,50.0,4000.0
IQOO,21740,4.4,8.0,128.0,0.0,50.0,7300.0
OPPO,25999,4.4,8.0,256.0,0.0,50.0,6000.0
MOTOROLA,20999,4.3,8.0,256.0,0.0,50.0,5000.0
LAVA,7429,4.0,4.0,128.0,0.0,50.0,5000.0
POCO,11999,4.2,4.0,128.0,2048.0,50.0,7000.0
IQOO,25000,4.4,8.0,256.0,0.0,50.0,7300.0
REDMI,6699,4.0,3.0,64.0,1024.0,8.0,5000.0
SAMSUNG,74999,4.7,12.0,256.0,0.0,50.0,4900.0
REALME,16999,4.7,6.0,,0.0,50.0,7000.0
REALME,23999,4.4,8.0,128.0,0.0,50.0,7000.0
SAMSUNG,14673,4.2,6.0,128.0,0.0,50.0,5000.0
