,product_name,ram_rom,camera,battery,price,rating
37,"Samsung Galaxy A35 5G (Awesome Lilac, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,"₹20,499",4.4
38,"MOTOROLA g35 5G (Guava Red, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,"₹9,999",4.2
39,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 256 GB)",8 GB RAM | 256 GB ROM,50MP + 8MP | 32MP Front Camera,5500 mAh Battery,"₹19,999",4.4
40,"realme C61 (Safari Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,32MP Rear Camera | 5MP Front Camera,5000 mAh Battery,"₹6,999",4.4
41,"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,"₹18,499",4.4
42,"Samsung Galaxy F07 (Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,"₹6,799",4.2
43,"MOTOROLA g57 power 5G (Pantone Regatta, 128 GB)",8 GB RAM | 128 GB ROM,50MP + 8MP | 8MP Front Camera,7000 mAh Battery,"₹13,999",4.5
44,"Ai+ Pulse (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,"₹5,999",4.3
45,"Apple iPhone 16 (Teal, 128 GB)",128 GB ROM,48MP + 12MP | 12MP Front Camera,,"₹69,900",4.6
46,"MOTOROLA g05 (Forest Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 8MP Front Camera,5100 mAh Battery,"₹7,299",4.2
47,"MOTOROLA g35 5G (Midnight Black, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,"₹12,499",4.3
48,"realme 15x 5G (Marine Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP Rear Camera | 50MP Front Camera,7000 mAh Battery,"₹17,499",4.5
49,"Ai+ Pulse (Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,"₹5,999",4.3
50,"Google Pixel 10 Pro (Moonstone, 256 GB)",16 GB RAM | 256 GB ROM,48MP + 48MP + 48MP | 42MP Front Camera,4870 mAh Battery,"₹1,09,999",4.6
